Phase,Period,Evidence source,Provenance,Confidence,Notes
Topic obtained (after KCM site visit),Jul 2025,Author's own record,Author-stated,Medium,"Topic received Jul 2025 following a tour to KCM (Konkola Copper Mines)."
FYP proposal development,Oct 2025,Author's own record,Author-stated,Medium,"Earliest proposal work ~17 Oct 2025; original direction ""Trust-Based Self-Healing for Mining Transmission Networks Using IoT and Machine Learning"" (problem statement, objectives, methodology)."
Concept development and refinement,Nov 2025 - Jan 2026,Author's own record,Author-stated,Medium,Trust-aware / IoT / ML concept developed and refined.
Scope simplification,Early Feb 2026,Author's own record,Author-stated,Medium,"Simplified toward ""Simulation-Based Self-Healing Strategy for a Mining Distribution Feeder""."
Title finalised (current),7 Feb 2026,Author's own record,Author-stated,Medium,"Evolved to ""ML-Assisted Self-Healing of a Mining Distribution Feeder with Selective Fault Isolation""."
Feeder Simulink modelling (initial),Mar 2026,mining_feeder_layer_FINAL_baseline.slx created 2026-03-05,Local file (verified),High,"Independently corroborates the author's ""March 2026 implementation"" account. Model iterations continued to July."
Topology rebuild + dataset generation (v2),Jul 2026,fault_dataset_v2.mat (07-10) + MASTER_A (07-11) + git ""topology-rebuilt v2"" (07-11),Local file/git (verified),High,Full-grid 1000-sample dataset on rebuilt topology.
Machine-learning / Random Forest,Jul 2026,MASTER_B (07-11) + baseline git commit (07-14),Local file/git (verified),High,500-tree cost-sensitive RF; ablation/noise/interpolation/baseline.
Autonomous FDIR implementation,Jul-Aug 2026,mining_feeder_layer_FDIR.slx created 2026-07-12 + BUILD_FDIR_CONTROLLER,Local file (verified),High,In-model detect->classify->isolate->restore controller.
Thesis drafting,May-Aug 2026,docx versions Draft(05-05) -> draft_4(07-03) -> FINAL(08-01),Local file (verified),High,Continuous drafting.
Corrections / documentation / submission,Jun-Aug 2026,git history (06-30 -> 08-07) + Claude session JSONL (06-30 -> 08-07),Local file/session (verified),High,Supervisor corrections, formatting, figure sync, QA.
